Id	class	plant	Centroid_Size	Log_Centroid_Size	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26
13	Hib	13	27.171753279016688	3.3019958695984535	-0.3738569499526445	0.0640900042617456	-0.3738569499526445	-0.06409000426174562	-0.27966246802920475	0.0	-0.1115240326684245	0.047092100806914394	-0.1115240326684245	-0.047092100806914394	0.008794135119839416	0.13865412859830112	0.008794135119839416	-0.13865412859830112	-0.0641245622910688	0.04069831453184473	-0.0641245622910688	-0.040698314531844734	0.22830455418944076	0.0	0.2672798248442866	0.08045157950883657	0.2672798248442866	-0.08045157950883657	0.5982210837357873	0.0
14	Hib	14	33.99729130537216	3.526253081194805	-0.3716571069281551	0.05444441982883266	-0.37165710692815523	-0.05444441982883266	-0.30982495965437185	0.0	-0.10235849241319302	0.048883059293749115	-0.10235849241319302	-0.048883059293749115	0.013632355968798459	0.10433955735821404	0.013632355968798457	-0.10433955735821404	-0.061835616337432286	0.03434000545553226	-0.061835616337432286	-0.03434000545553226	0.1923468135582948	0.0	0.2684959112502035	0.06437616816901434	0.2684959112502035	-0.06437616816901434	0.6249240430156341	0.0
15	Hib	15	22.402536355171293	3.109061980136887	-0.37273308880910755	0.07075515985952227	-0.3727330888091075	-0.07075515985952227	-0.2934630858172095	0.0	-0.1375121221514135	0.052824661079770185	-0.1375121221514135	-0.0528246610797702	0.1298174613447475	0.15768269707925076	0.1298174613447475	-0.15768269707925076	-0.09487686364774384	0.041296093246110444	-0.09487686364774384	-0.04129609324611044	0.1892821655113418	0.0	0.2402710856736453	0.07873116948608166	0.2402710856736453	-0.07873116948608166	0.574247975485612	0.0
16	Hib	16	38.0361842179385	3.6381872706001426	-0.3598375847601437	0.050471575381112146	-0.3598375847601437	-0.050471575381112146	-0.3023432899642705	0.0	-0.08667752770137277	0.04587987466747137	-0.08667752770137276	-0.04587987466747137	-0.04335114117014522	0.09788751774804164	-0.04335114117014523	-0.09788751774804164	-0.04748123521490595	0.03576100582746543	-0.047481235214905944	-0.03576100582746542	0.17100205028515078	0.0	0.26106753495015833	0.07767175516933256	0.26106753495015833	-0.07767175516933256	0.6839011474719383	0.0
17	Lax	17	40.686841527645655	3.7058483406951073	-0.34550873333836607	0.052890074339629695	-0.34550873333836607	-0.05289007433962969	-0.2827024293404655	0.0	-0.10837917587866898	0.04335727671986418	-0.10837917587866899	-0.04335727671986418	-0.023764287212728663	0.10579601670041577	-0.023764287212728663	-0.10579601670041577	-0.07256933882030951	0.034062782725148816	-0.07256933882030951	-0.034062782725148816	0.16307716425535912	0.0	0.26893030729091577	0.10133977138258504	0.26893030729091577	-0.10133977138258506	0.6822077210034212	0.0
18	Hib	18	33.270307898965186	3.504471022134757	-0.36460482780420406	0.05141607778386415	-0.36460482780420406	-0.05141607778386415	-0.29454469110184345	0.0	-0.10009739891769225	0.042814362361887924	-0.10009739891769226	-0.04281436236188792	-0.03350723905753622	0.1411392412069463	-0.03350723905753622	-0.1411392412069463	-0.04203902372974598	0.03832461732869711	-0.042039023729745974	-0.03832461732869711	0.20274599400516036	0.0	0.27127433336134416	0.08573324443785993	0.2712743333613442	-0.08573324443785993	0.6297470093923517	0.0
19	Lax	19	50.96394429689248	3.930913210880497	-0.32029801394144386	0.04973200711070028	-0.32029801394144386	-0.04973200711070028	-0.2653918787898256	0.0	-0.1174354583142531	0.03762903902717761	-0.1174354583142531	-0.03762903902717762	-0.03930057725627702	0.14892714442871308	-0.03930057725627702	-0.14892714442871305	-0.07483838338143418	0.032837668517214195	-0.07483838338143418	-0.0328376685172142	0.12582205349902026	0.0	0.2522376204540293	0.09489796175418179	0.2522376204540293	-0.09489796175418179	0.7388394501695634	0.0
20	Hib	20	24.673462685116316	3.205645684125156	-0.372774830842414	0.06841115874585967	-0.372774830842414	-0.06841115874585967	-0.2893940379392289	0.0	-0.13532920906303086	0.05183413422721843	-0.13532920906303086	-0.05183413422721843	0.09818111419333919	0.14349704816958403	0.09818111419333919	-0.14349704816958403	-0.08329466426324192	0.040140400145085006	-0.08329466426324192	-0.04014040014508501	0.22050418419387338	0.0	0.23374528239673803	0.08353940381655195	0.23374528239673803	-0.08353940381655195	0.5878344689025743	0.0
21	Pen	21	15.253040988023365	2.724766269572237	-0.42630742482666095	0.09853760341697498	-0.42630742482666095	-0.09853760341697498	-0.34827669839501046	0.0	-0.09524219208082296	0.059386608307115896	-0.09524219208082296	-0.059386608307115896	0.10280930048132228	0.18401400870254522	0.10280930048132228	-0.18401400870254525	-0.02582724738763629	0.05398265711729196	-0.02582724738763629	-0.05398265711729196	0.3038032388628089	0.0	0.2522904160742334	0.0699049169309619	0.2522904160742334	-0.0699049169309619	0.4290277550113301	0.0
22	Lax	22	46.705368461080646	3.8418957755848977	-0.32736967403671563	0.050518972527032455	-0.3273696740367157	-0.050518972527032455	-0.2764541687120452	0.0	-0.10761548189358427	0.03842335364735015	-0.10761548189358427	-0.03842335364735015	-0.018090746969883234	0.10723011309090344	-0.018090746969883238	-0.10723011309090344	-0.07779522903071505	0.03348835254484174	-0.07779522903071506	-0.03348835254484174	0.14284006887837006	0.0	0.2137535252713355	0.09986174429404168	0.2137535252713355	-0.09986174429404167	0.7678493131528006	0.0
