Id	class	plant	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
13	Hib	13	0.07022736072375915	0.035586598258103355	-0.025028721155906337	0.0277070159844081	0.021364993874875338	0.01558716791690572	0.015142677281801421	0.003943459397007951	0.005740386392977254	-0.003124863479241735	8.907604819972479E-4
14	Hib	14	0.09739456898028881	0.02452198240595713	0.034572900229238236	0.013066630964046304	0.01980368804628601	-0.016863381829876765	-0.0018679837136365341	-0.010087053315625403	-0.004485742322296536	0.0018213656900861988	-1.0040964928285036E-4
15	Hib	15	-0.042826429049684735	-0.11717929554125169	-0.011706038979236005	0.03525527123022911	0.0067892296505028095	-0.00388127811841437	0.0016816764764188514	-0.0014870933668233671	0.002413814786805784	-0.0012209759732536728	3.2202177286288054E-4
16	Hib	16	0.19638024124141804	0.05532588694180749	0.022567154357458458	-0.019463067076283563	0.004522464219465474	-0.01221002779957411	-0.0061190012872323184	-0.00948682890441442	2.122852416995549E-4	0.0046459155814142965	-0.003997808910511654
17	Lax	17	0.19252659582706996	0.007186593262163664	0.014441598326683989	0.015517672644591394	-0.008408834564929763	0.017541783913811622	0.004389989262894344	0.0029363654860365346	-0.0018114000490401256	-0.011852157019941623	-2.5352256906028956E-4
18	Hib	18	0.13532132484004974	0.07111223995718619	-0.033628291923076814	0.011406754204610759	-0.005931013439142945	-0.002042034558862649	0.005169104356160887	0.0047893807786080055	-0.010791878514315293	0.004357920821890172	4.72245831208748E-4
19	Lax	19	0.25535223838272214	-0.033899625186199336	-0.05082044491299545	0.017795721562568853	-0.019749126470917058	-0.008616352061809928	-0.012285891516437338	0.004535474430698722	0.004612193669187129	0.003577194090971684	1.4593192377697806E-4
20	Hib	20	-0.011866624479669687	-0.07935083514873663	-0.014474231753255143	0.013486280007165796	0.029734267772966852	0.015013845918825961	0.013186519233648226	0.0022025528132764544	-0.0063186097423484225	-0.0012726972425620062	0.00563432627794553
21	Pen	21	-0.1925554789198599	0.0694444774973607	-0.0501756956728935	-0.005873312041641134	0.013750584728038324	0.006764520286857383	-0.01730207003107436	0.012832735610824174	-0.009063534843280789	0.0034004857576577733	-7.511742562734747E-4
22	Lax	22	0.25540982998251693	-0.06552071530443734	-0.006876655410404851	-0.04902057746877597	0.014555839276013892	0.003257887044219844	-0.0032237746893255207	-0.0017624930306460972	0.001855444813007038	-0.0066224168299905736	-0.00285134996522769
23	Lax	23	0.17753249000441815	-0.00871396329016828	0.018223558497658995	-0.0064039860015495595	0.019021443710015955	-0.0010545093428192005	-0.004070630464253767	-0.006587752259345668	-0.01159008648764815	-0.0047971825237233656	-0.001402437244270862
24	Hib	24	0.23662400718647408	0.055420865358522454	0.02128291370743998	-0.018819925683203766	0.012380282242221794	-0.002332693277240016	0.00599273861954763	-0.0016010145029275004	0.005017554577977423	-5.13170625877855E-4	0.007191079259699431
25	Hib	25	0.1550299354145286	0.11272387630578089	0.00644118503485247	0.007266394412481886	0.012056532419774038	0.004246104355625839	0.004429429241175723	0.008197508734905407	-1.647459602342246E-4	0.010214838198396987	4.98374989586862E-4
26	Hib	26	0.21737754402205436	-0.0015529170744109921	-0.0016550856953408332	0.053408410446854626	0.009807315863116403	0.0020714219498488094	-0.006063894675159961	-0.0027581193787206623	0.0027840022066933133	6.730869309057395E-4	-0.005807067829410857
28	Lax	28	0.2473438087333493	-0.045192453216823046	0.011212640346029788	0.032424023247606036	-0.029381709991389903	0.02409814656736243	0.006926152077165811	0.007223167733619505	0.004592675856259289	-0.004865529570792863	1.7549962755824145E-4
29	Hib	29	-0.03686020960608968	0.024310024323117126	-0.015048099925047076	0.03448931230617076	0.012547565280760595	0.02427948258356413	0.0022045580822058768	-0.006714870511649996	0.0038093601517354934	-0.0027585634953356335	0.0029963955604522335
30	Hib	30	0.003810852339957139	0.13923498941856444	0.029303459996350135	-0.016248992973972427	-0.005437541441413663	-0.012907487929042021	0.010291355227891185	-0.003403218055021139	0.008552365806474015	-0.007166982316469522	0.0019959402155223325
31	Lax	31	0.24121137698889572	-0.020047761780434	-0.030323099321459247	-0.014103223767518231	0.006446207473520493	0.022438138593273045	-0.006930934566635776	0.004397503873552373	-6.621712992163943E-4	-0.006779904849953194	-5.026310157329073E-5
